MEETVERANTWOORDELIJKE	NETBEHEERDER	NETGEBIED	STRAATNAAM	POSTCODE_VAN	POSTCODE_TOT	WOONPLAATS	LANDCODE	PRODUCTSOORT	VERBRUIKSSEGMENT	Aantal aansluitingen	%Leveringsrichting	%Fysieke status	%Defintieve aansl (NRM)	%Soort aansluiting	Soort aansluiting Naam	SJV	%SJV laag tarief	%Slimme Meter	Gemiddeld aantal telwielen
8716878999989	8716878999996	871687800090000015	BAKKERSHOF	2291DC	2291DC	WATERINGEN	NL	ELK	KVB	14	100	100	100	93	1x35	2224	100	0	4,9
8716878999989	8716878999996	871718518003006694	BAKKERSHOF	2291DC	2291DC	WATERINGEN	NL	GAS	KVB	14	100	100	100	93	G4	2487	0	0	1
8716878999989	8716878999996	871687800090000015	BAKKERSHOF	2291DD	2291DD	WATERINGEN	NL	ELK	KVB	34	100	100	100	94	3x25	2210	97,06	2,94	4,3
8716878999989	8716878999996	871718518003006694	BAKKERSHOF	2291DD	2291DD	WATERINGEN	NL	GAS	KVB	33	100	100	100	100	G4	708	0	3,03	2
8716878999989	8716878999996	871687800090000015	BAKKERSHOF	2291DE	2291DE	WATERINGEN	NL	ELK	KVB	39	100	100	100	92	3x25	2762	92,31	2,56	3,6
8716878999989	8716878999996	871718518003006694	BAKKERSHOF	2291DE	2291DE	WATERINGEN	NL	GAS	KVB	37	100	100	100	100	G4	681	0	2,7	2
8716878999989	8716878999996	871687800090000015	WATERSTAATSPAD	2291DG	2291DX	WATERINGEN	NL	ELK	KVB	51	94,12	100	100	49	1x35	4386	100	5,88	4,3
8716878999989	8716878999996	871718518003006694	WATERSTAATSPAD	2291DG	2291DX	WATERINGEN	NL	GAS	KVB	50	100	100	100	94	G4	1460	0	4	2
8716878999989	8716878999996	871687800090000015	AMBACHTSHOF	2291DZ	2291EA	WATERINGEN	NL	ELK	KVB	19	94,74	100	100	89	3x25	6025	100	15,79	4
8716878999989	8716878999996	871718518003006694	AMBACHTSHOF	2291DZ	2291EA	WATERINGEN	NL	GAS	KVB	19	100	100	100	89	G4	1682	0	10,53	1,9
8716878999989	8716878999996	871687800090000015	NOORDWEG	2291EB	2291EE	WATERINGEN	NL	ELK	KVB	17	88,24	100	100	94	3x25	7861	94,12	5,88	3,8
8716878999989	8716878999996	871718518003006694	NOORDWEG	2291EB	2291EE	WATERINGEN	NL	GAS	KVB	16	100	93,75	100	63	G4	3307	0	0	1,9
8716878999989	8716878999996	871687800090000015	POORTWEIDE	2291EH	2291EH	WATERINGEN	NL	ELK	KVB	32	100	100	100	94	3x25	2669	100	0	3
8716878999989	8716878999996	871718518003006694	POORTWEIDE	2291EH	2291EH	WATERINGEN	NL	GAS	KVB	29	100	100	100	100	G4	880	0	0	2
8716878999989	8716878999996	871687800090000015	POORTWEIDE	2291EJ	2291EJ	WATERINGEN	NL	ELK	KVB	40	100	100	100	93	3x25	2968	97,5	0	3
8716878999989	8716878999996	871718518003006694	POORTWEIDE	2291EJ	2291EJ	WATERINGEN	NL	GAS	KVB	37	100	100	100	100	G4	1032	0	0	2
8716878999989	8716878999996	871687800090000015	ERASMUSWEG	2291EK	2291EN	WATERINGEN	NL	ELK	KVB	28	100	100	100	100	3x25	3376	96,43	3,57	3,5
8716878999989	8716878999996	871718518003006694	ERASMUSWEG	2291EK	2291EN	WATERINGEN	NL	GAS	KVB	28	100	100	100	89	G4	1500	0	0	2
8716878999989	8716878999996	871687800090000015	PRINS HENDRIKSTRAAT	2291EP	2291EP	WATERINGEN	NL	ELK	KVB	24	100	100	100	83	3x25	3903	91,67	4,17	3,5
8716878999989	8716878999996	871718518003006694	PRINS HENDRIKSTRAAT	2291EP	2291EP	WATERINGEN	NL	GAS	KVB	24	100	100	100	96	G4	1357	0	4,17	2
8716878999989	8716878999996	871687800090000015	PRINS HENDRIKSTRAAT	2291ER	2291ER	WATERINGEN	NL	ELK	KVB	22	100	100	100	91	3x25	3685	90,91	4,55	3,8
8716878999989	8716878999996	871718518003006694	PRINS HENDRIKSTRAAT	2291ER	2291ER	WATERINGEN	NL	GAS	KVB	22	100	100	100	95	G4	1606	0	4,55	2
8716878999989	8716878999996	871687800090000015	PRINS HENDRIKSTRAAT	2291ES	2291ES	WATERINGEN	NL	ELK	KVB	16	100	100	100	100	3x25	4367	68,75	0	3,4
8716878999989	8716878999996	871718518003006694	PRINS HENDRIKSTRAAT	2291ES	2291ES	WATERINGEN	NL	GAS	KVB	16	100	100	100	94	G4	1756	0	0	2
8716878999989	8716878999996	871687800090000015	PRINS BERNHARDSTRAAT	2291ET	2291ET	WATERINGEN	NL	ELK	KVB	15	100	100	100	100	3x25	4007	80	6,67	3,5
8716878999989	8716878999996	871718518003006694	PRINS BERNHARDSTRAAT	2291ET	2291ET	WATERINGEN	NL	GAS	KVB	15	100	100	100	93	G4	1846	0	6,67	2
8716878999989	8716878999996	871687800090000015	AMBACHTSWEG	2291EV	2291EV	WATERINGEN	NL	ELK	KVB	15	100	100	100	87	3x25	10760	93,33	0	3,3
8716878999989	8716878999996	871718518003006694	AMBACHTSWEG	2291EV	2291EV	WATERINGEN	NL	GAS	KVB	15	100	100	100	93	G4	3398	0	0	2
8716878999989	8716878999996	871687800090000015	AMBACHTSWEG	2291EW	2291EW	WATERINGEN	NL	ELK	KVB	10	100	100	100	100	3x25	4539	100	0	3,4
8716878999989	8716878999996	871718518003006694	AMBACHTSWEG	2291EW	2291EW	WATERINGEN	NL	GAS	KVB	10	100	100	100	70	G4	1890	0	0	2
8716878999989	8716878999996	871687800090000015	AMBACHTSWEG	2291EX	2291EX	WATERINGEN	NL	ELK	KVB	24	100	100	100	88	3x25	5240	100	0	3,3
8716878999989	8716878999996	871718518003006694	AMBACHTSWEG	2291EX	2291EX	WATERINGEN	NL	GAS	KVB	24	100	100	100	83	G4	6280	0	0	2
8716878999989	8716878999996	871687800090000015	AMBACHTSWEG	2291EZ	2291EZ	WATERINGEN	NL	ELK	KVB	28	96,43	100	100	86	3x25	5340	89,29	0	3,3
8716878999989	8716878999996	871718518003006694	AMBACHTSWEG	2291EZ	2291EZ	WATERINGEN	NL	GAS	KVB	29	100	100	100	72	G4	1970	0	0	2
8716878999989	8716878999996	871687800090000015	POELDIJKSEWEG	2291GA	2291GA	WATERINGEN	NL	ELK	KVB	19	100	100	100	79	3x25	11196	94,74	5,26	3,3
8716878999989	8716878999996	871718518003006694	POELDIJKSEWEG	2291GA	2291GA	WATERINGEN	NL	GAS	KVB	16	100	100	100	69	G4	3406	0	6,25	1,9
8716878999989	8716878999996	871687800090000015	POELDIJKSEWEG	2291GB	2291GB	WATERINGEN	NL	ELK	KVB	12	100	100	100	100	3x25	5209	91,67	8,33	3,5
8716878999989	8716878999996	871718518003006694	POELDIJKSEWEG	2291GB	2291GE	WATERINGEN	NL	GAS	KVB	29	100	100	100	76	G4	2486	0	3,45	2
8716878999989	8716878999996	871687800090000015	POELDIJKSEWEG	2291GC	2291GC	WATERINGEN	NL	ELK	KVB	10	100	100	100	70	3x25	12391	90	10	3,4
8716878999989	8716878999996	871687800090000015	KORTE NOORDWEG	2291GE	2291GE	WATERINGEN	NL	ELK	KVB	17	94,12	100	100	82	3x25	5064	100	0	3,2
8716878999989	8716878999996	871687800090000015	MARKUSLAAN	2291GG	2291GG	WATERINGEN	NL	ELK	KVB	16	100	100	100	81	3x25	5546	100	0	3,4
8716878999989	8716878999996	871718518003006694	MARKUSLAAN	2291GG	2291GG	WATERINGEN	NL	GAS	KVB	13	100	100	100	85	G4	2696	0	0	2
8716878999989	8716878999996	871687800090000015	BLAUWE AKELEI	2291GH	2291GH	WATERINGEN	NL	ELK	KVB	10	100	100	100	90	3x25	3059	100	10	3,4
8716878999989	8716878999996	871718518003006694	BLAUWE AKELEI	2291GH	2291GH	WATERINGEN	NL	GAS	KVB	10	100	90	100	90	G4	2847	0	0	1,8
8716878999989	8716878999996	871687800090000015	ROZEMARIJN	2291GJ	2291GJ	WATERINGEN	NL	ELK	KVB	24	100	100	100	92	3x25	3162	100	4,17	3,4
8716878999989	8716878999996	871718518003006694	ROZEMARIJN	2291GJ	2291GJ	WATERINGEN	NL	GAS	KVB	23	100	100	100	96	G4	1878	0	4,35	2
8716878999989	8716878999996	871687800090000015	ROZEMARIJN	2291GK	2291GK	WATERINGEN	NL	ELK	KVB	21	100	100	100	90	3x25	2419	100	0	3,3
8716878999989	8716878999996	871718518003006694	ROZEMARIJN	2291GK	2291GK	WATERINGEN	NL	GAS	KVB	20	100	100	100	100	G4	1104	0	0	2
8716878999989	8716878999996	871687800090000015	ROZEMARIJN	2291GL	2291GL	WATERINGEN	NL	ELK	KVB	16	100	100	100	88	3x25	2137	100	6,25	3,3
8716878999989	8716878999996	871718518003006694	ROZEMARIJN	2291GL	2291GL	WATERINGEN	NL	GAS	KVB	15	100	100	100	100	G4	1098	0	6,67	2
8716878999989	8716878999996	871687800090000015	ROZEMARIJN	2291GM	2291GM	WATERINGEN	NL	ELK	KVB	15	100	100	100	100	3x25	4155	100	0	3,6
8716878999989	8716878999996	871718518003006694	ROZEMARIJN	2291GM	2291GM	WATERINGEN	NL	GAS	KVB	15	100	100	100	100	G4	1807	0	0	2
8716878999989	8716878999996	871687800090000015	ROZEMARIJN	2291GN	2291GN	WATERINGEN	NL	ELK	KVB	23	95,65	100	100	96	3x25	3131	100	4,35	3,5
8716878999989	8716878999996	871718518003006694	ROZEMARIJN	2291GN	2291GN	WATERINGEN	NL	GAS	KVB	22	100	100	100	100	G4	1718	0	4,55	2
8716878999989	8716878999996	871687800090000015	ROZEMARIJN	2291GP	2291GR	WATERINGEN	NL	ELK	KVB	28	92,86	100	100	93	3x25	3424	92,86	0	3,2
8716878999989	8716878999996	871718518003006694	ROZEMARIJN	2291GP	2291GR	WATERINGEN	NL	GAS	KVB	28	100	100	100	96	G4	1921	0	0	2
8716878999989	8716878999996	871687800090000015	DE MEIBLOEM	2291GS	2291GS	WATERINGEN	NL	ELK	KVB	18	100	100	100	89	3x25	3696	94,44	5,56	3,3
8716878999989	8716878999996	871718518003006694	DE MEIBLOEM	2291GS	2291GS	WATERINGEN	NL	GAS	KVB	18	100	100	100	100	G4	1590	0	5,56	2
8716878999989	8716878999996	871687800090000015	DE MEIBLOEM	2291GT	2291GT	WATERINGEN	NL	ELK	KVB	19	94,74	100	100	84	3x25	3159	100	0	3,7
8716878999989	8716878999996	871718518003006694	DE MEIBLOEM	2291GT	2291GT	WATERINGEN	NL	GAS	KVB	19	100	100	100	100	G4	1574	0	0	2
8716878999989	8716878999996	871687800090000015	DE HOORNBLOEM	2291GV	2291GV	WATERINGEN	NL	ELK	KVB	13	100	100	100	100	3x25	3502	100	0	3,2
8716878999989	8716878999996	871718518003006694	DE HOORNBLOEM	2291GV	2291GV	WATERINGEN	NL	GAS	KVB	13	100	100	100	100	G4	1781	0	0	2
8716878999989	8716878999996	871687800090000015	GELE MEERBLOEM	2291GW	2291GW	WATERINGEN	NL	ELK	KVB	22	100	100	100	95	3x25	3078	100	0	3,2
8716878999989	8716878999996	871718518003006694	GELE MEERBLOEM	2291GW	2291GW	WATERINGEN	NL	GAS	KVB	22	100	100	100	100	G4	1558	0	0	2
8716878999989	8716878999996	871687800090000015	GELE MEERBLOEM	2291GX	2291GX	WATERINGEN	NL	ELK	KVB	18	100	100	100	94	3x25	2444	100	0	3,2
8716878999989	8716878999996	871718518003006694	GELE MEERBLOEM	2291GX	2291GX	WATERINGEN	NL	GAS	KVB	18	100	100	100	100	G4	1603	0	0	2
8716878999989	8716878999996	871687800090000015	WILLIGE RIJZEN	2291GZ	2291HM	WATERINGEN	NL	ELK	KVB	71	100	98,59	100	73	3x25	8987	91,55	2,82	3,5
8716878999989	8716878999996	871718518003006694	WILLIGE RIJZEN	2291GZ	2291HM	WATERINGEN	NL	GAS	KVB	64	100	100	100	91	G4	2268	0	0	2
8716878999989	8716878999996	871687800090000015	DORPSKADE	2291HN	2291HR	WATERINGEN	NL	ELK	KVB	26	100	100	100	50	3x25	17950	100	7,69	3,6
8716878999989	8716878999996	871718518003006694	DORPSKADE	2291HN	2291HS	WATERINGEN	NL	GAS	KVB	42	100	100	100	79	G4	3064	0	0	2
8716878999989	8716878999996	871687800090000015	DORPSKADE	2291HS	2291HS	WATERINGEN	NL	ELK	KVB	24	100	100	100	92	3x25	1573	100	0	3
8716878999989	8716878999996	871687800090000015	DORPSKADE	2291HT	2291HZ	WATERINGEN	NL	ELK	KVB	29	93,1	100	100	76	3x25	12470	93,1	20,69	3,8
8716878999989	8716878999996	871718518003006694	DORPSKADE	2291HT	2291JA	WATERINGEN	NL	GAS	KVB	39	100	100	100	90	G4	1913	0	2,56	2
8716878999989	8716878999996	871687800090000015	DE FRANKENTHALER	2291JA	2291JA	WATERINGEN	NL	ELK	KVB	25	100	100	100	96	3x25	2893	100	4	3,2
8716878999989	8716878999996	871687800090000015	DE FRANKENTHALER	2291JB	2291JB	WATERINGEN	NL	ELK	KVB	15	100	100	100	93	3x25	3662	100	0	3,3
8716878999989	8716878999996	871718518003006694	DE FRANKENTHALER	2291JB	2291JB	WATERINGEN	NL	GAS	KVB	15	100	100	100	100	G4	1243	0	0	2
8716878999989	8716878999996	871687800090000015	DE FRANKENTHALER	2291JC	2291JC	WATERINGEN	NL	ELK	KVB	16	100	100	100	94	3x25	3856	100	0	3,2
8716878999989	8716878999996	871718518003006694	DE FRANKENTHALER	2291JC	2291JC	WATERINGEN	NL	GAS	KVB	16	100	100	100	100	G4	1439	0	0	2
8716878999989	8716878999996	871687800090000015	DE FRANKENTHALER	2291JD	2291JD	WATERINGEN	NL	ELK	KVB	11	90,91	100	100	91	3x25	3354	100	9,09	3,2
8716878999989	8716878999996	871718518003006694	DE FRANKENTHALER	2291JD	2291JD	WATERINGEN	NL	GAS	KVB	11	100	100	100	100	G4	1459	0	9,09	2
8716878999989	8716878999996	871687800090000015	DE FRANKENTHALER	2291JE	2291JE	WATERINGEN	NL	ELK	KVB	12	100	100	100	92	3x25	5020	100	0	3,7
8716878999989	8716878999996	871718518003006694	DE FRANKENTHALER	2291JE	2291JE	WATERINGEN	NL	GAS	KVB	12	100	100	100	100	G4	1676	0	0	2
8716878999989	8716878999996	871687800090000015	DE MUSCAAT	2291JG	2291JG	WATERINGEN	NL	ELK	KVB	14	100	100	100	86	3x25	3302	100	0	3
8716878999989	8716878999996	871718518003006694	DE MUSCAAT	2291JG	2291JG	WATERINGEN	NL	GAS	KVB	14	100	100	100	100	G4	1383	0	0	2
8716878999989	8716878999996	871687800090000015	DE MUSCAAT	2291JH	2291JH	WATERINGEN	NL	ELK	KVB	17	100	100	100	100	3x25	4144	100	0	3
8716878999989	8716878999996	871718518003006694	DE MUSCAAT	2291JH	2291JH	WATERINGEN	NL	GAS	KVB	17	100	100	100	100	G4	1539	0	0	2
8716878999989	8716878999996	871687800090000015	DE MUSCAAT	2291JJ	2291JJ	WATERINGEN	NL	ELK	KVB	13	100	100	100	100	3x25	4207	100	7,69	3,2
8716878999989	8716878999996	871718518003006694	DE MUSCAAT	2291JJ	2291JJ	WATERINGEN	NL	GAS	KVB	13	100	100	100	100	G4	1324	0	7,69	2
8716878999989	8716878999996	871687800090000015	DE COLMAN	2291JK	2291JK	WATERINGEN	NL	ELK	KVB	16	87,5	100	100	81	3x25	3909	100	0	3,5
8716878999989	8716878999996	871718518003006694	DE COLMAN	2291JK	2291JK	WATERINGEN	NL	GAS	KVB	16	100	100	100	100	G4	1715	0	0	2
8716878999989	8716878999996	871687800090000015	DE COLMAN	2291JL	2291JL	WATERINGEN	NL	ELK	KVB	13	92,31	100	100	92	3x25	3914	92,31	7,69	3,4
8716878999989	8716878999996	871718518003006694	DE COLMAN	2291JL	2291JL	WATERINGEN	NL	GAS	KVB	13	100	100	100	100	G4	1375	0	7,69	2
8716878999989	8716878999996	871687800090000015	DE COLMAN	2291JM	2291JM	WATERINGEN	NL	ELK	KVB	16	100	100	100	100	3x25	5334	100	0	3,4
